InvoiceDetailID,InvoiceID,ProductID,ProductPrice,TaxAmount,ConsignorID,StoreOwned,ItemCost,FedTax,Voided,TaxRef,FedTaxRef,DiscRef,CardNumber,VoidBy,StoreID,EffPrice
1,1,9336,1.00,0.08,500,TRUE,0.50,0,FALSE,,,,,,,
2,2,24664,1.00,0.08,500,TRUE,0.25,0,FALSE,,,,,,,
3,3,23215,24.50,2.06,31,FALSE,20.82,0,FALSE,,,,,,,
4,4,44480,4.29,0.36,500,FALSE,3.64,0,FALSE,,,,,,,
5,5,44480,4.29,0.36,500,FALSE,3.64,0,FALSE,,,,,,,
6,6,57121,11.94,1.00,500,FALSE,10.14,0,FALSE,,,,,,,
7,7,-2,2.49,0.21,500,FALSE,2.11,0,FALSE,,,,,,,
8,8,7672,10.00,0.84,3,FALSE,8.50,0,FALSE,,,,,,,
9,9,44366,80.00,6.72,65,FALSE,68.00,0,FALSE,,,,,,,
10,9,-2,0.75,0.06,500,FALSE,0.64,0,FALSE,,,,,,,
11,10,57122,1.99,0.17,500,FALSE,1.69,0,FALSE,,,,,,,
12,10,57123,0.99,0.08,500,FALSE,0.84,0,FALSE,,,,,,,
13,10,48515,2.59,0.22,500,FALSE,2.20,0,FALSE,,,,,,,
14,10,48515,2.59,0.22,500,FALSE,2.20,0,FALSE,,,,,,,
15,11,46826,1.65,0.14,500,FALSE,1.40,0,FALSE,,,,,,,
16,11,57123,1.49,0.13,500,FALSE,1.27,0,FALSE,,,,,,,
17,11,57124,46.96,3.94,500,FALSE,39.91,0,FALSE,,,,,,,
18,12,57124,4.99,0.42,500,FALSE,4.24,0,FALSE,,,,,,,
19,13,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
20,13,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
21,13,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
22,13,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
23,13,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
24,13,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
25,13,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
26,13,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
27,13,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
28,13,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
29,13,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
30,13,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
31,13,53492,0.55,0.05,500,FALSE,0.46,0,FALSE,,,,,,,
32,14,25648,3.50,0.29,24,FALSE,2.97,0,FALSE,,,,,,,
33,14,378,7.00,0.59,37,FALSE,5.95,0,FALSE,,,,,,,
34,15,-2,9.99,0.84,500,FALSE,8.49,0,TRUE,0.839999974,0,0,,Unknown,,
35,15,46087,10.99,0.92,500,FALSE,9.34,0,TRUE,0.920000017,0,0,,Unknown,,
36,16,-2,5.00,0.42,500,FALSE,4.25,0,FALSE,,,,,,,
37,16,46087,10.99,0.92,500,FALSE,9.34,0,FALSE,,,,,,,
38,18,23570,12.00,1.01,87,FALSE,10.20,0,FALSE,,,,,,,
39,19,23351,17.50,1.47,31,FALSE,14.87,0,FALSE,,,,,,,
40,19,42013,12.00,1.01,26,FALSE,10.20,0,FALSE,,,,,,,
