InvoiceID,Employee,InvoiceDate,PaymentTerms,GrossDue,Discount,SalesTax,AcctCredit,NetDue,ItemCount,CreditCardCut,InvCost,FedSalesTax,Text1,Num1,PayTerms2,PayAmt1,PayAmt2,BuyersFee,Layaways,TaxExemptNo,LayCredit,RegisterID,Advertise,ConsID,GCSales,GCCredits,CustNo,StoreID,PCName,SaleTime,TaxJ
1,Unknown,8/10/2019,Cash,1.00,0.00,0.08,0.00,1.08,1,0,0.5,0.00,,0,,1.08,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-45BG56O,1/0/1900,
2,Unknown,8/10/2019,Cash,1.00,0.00,0.08,0.00,1.08,1,0,0.25,0.00,,0,,1.08,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-45BG56O,1/0/1900,
3,Unknown,8/11/2019,Cash,24.50,0.00,2.06,0.00,26.56,1,0,20.81999969,0.00,,0,,26.56,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-45BG56O,1/0/1900,
4,Unknown,8/11/2019,Cash,4.29,0.00,0.36,0.00,4.65,1,0,3.640000105,0.00,,0,,4.65,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-45BG56O,1/0/1900,
5,Unknown,8/11/2019,Cash,4.29,0.00,0.36,0.00,4.65,1,0,3.640000105,0.00,,0,,4.65,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-45BG56O,1/0/1900,
6,Unknown,8/12/2019,Cash,11.94,0.00,1.00,0.00,12.94,1,0,10.14000034,0.00,,0,,12.94,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
7,Unknown,8/12/2019,Cash,2.49,0.00,0.21,0.00,2.70,1,0,2.109999895,0.00,,0,,2.70,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
8,Unknown,8/12/2019,Cash,10.00,0.00,0.84,0.00,10.84,1,0,8.5,0.00,,0,,10.84,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
9,Unknown,8/12/2019,Cash,80.75,0.00,6.78,0.00,87.53,2,0,68,0.00,,0,,87.53,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
10,Unknown,8/12/2019,Credit Card,8.16,0.00,0.69,0.00,8.85,4,0,6.929999828,0.00,,0,,8.85,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
11,Unknown,8/12/2019,Credit Card,50.10,0.00,4.21,0.00,54.31,3,0,41.31000137,0.00,,0,,54.31,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
12,Unknown,8/12/2019,Cash,4.99,0.00,0.42,0.00,5.41,1,0,0,0.00,,0,,5.41,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
13,Unknown,8/12/2019,Cash,7.15,0.00,0.60,0.00,7.75,13,0,5.980000019,0.00,,0,,7.75,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
14,Unknown,8/12/2019,Credit Card,10.50,0.00,0.88,0.00,11.38,2,0,8.920000076,0.00,,0,,11.38,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
15,Unknown,8/12/2019,Credit Card,20.98,0.00,1.76,0.00,22.74,2,0,9.340000153,0.00,,0,,22.74,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
16,Unknown,8/12/2019,Cash,15.99,0.00,1.34,0.00,17.33,2,0,9.340000153,0.00,,0,,17.33,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
17,Voided-Unknown,8/12/2019,Refund,-20.98,0.00,-1.76,0.00,-22.74,2,0,-17.82999992,0.00,Credit Car,18,,,,,0.00,,0.00,1,15,,0.00,0.00,,,DESKTOP-IFH04SI,,
18,Unknown,8/12/2019,Cash,12.00,0.00,1.01,0.00,13.01,1,0,10.19999981,0.00,,0,,13.01,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
19,Unknown,8/12/2019,Credit Card,67.40,0.00,5.66,0.00,73.06,7,0,57.25999832,0.00,,0,,73.06,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
20,Unknown,8/12/2019,Cash,2.99,0.00,0.25,0.00,3.24,1,0,0,0.00,,0,,3.24,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
21,Unknown,8/12/2019,Credit Card,6.70,0.00,0.56,0.00,7.26,2,0,5.679999828,0.00,,0,,7.26,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
22,Unknown,8/12/2019,Cash,0.55,0.00,0.05,0.00,0.60,1,0,0.460000008,0.00,,0,,0.60,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
23,Unknown,8/12/2019,Cash,85.00,0.00,7.14,0.00,92.14,1,0,72.25,0.00,,0,,92.14,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
24,Unknown,8/12/2019,Cash,2.89,0.00,0.24,0.00,3.13,1,0,0,0.00,,0,,3.13,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
25,Voided-Unknown,8/12/2019,Refund,-85.00,0.00,-7.14,0.00,-92.14,1,0,-72.25,0.00,Cash,72,,-92.14,,,0.00,,0.00,1,23,,0.00,0.00,,,URBANBASICS-PC,,
26,Voided-Unknown,8/12/2019,Refund,-0.55,0.00,-0.05,0.00,-0.60,1,0,-0.460000008,0.00,Cash,0,,-0.60,,,0.00,,0.00,1,22,,0.00,0.00,,,URBANBASICS-PC,,
27,Unknown,8/12/2019,Credit Card,11.98,0.00,1.01,0.00,12.99,1,0,10.18000031,0.00,,0,,12.99,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
28,Unknown,8/12/2019,Cash,4.48,0.00,0.38,0.00,4.86,3,0,3.799999952,0.00,,0,,4.86,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
29,Unknown,8/12/2019,Cash,0.35,0.00,0.03,0.00,0.38,1,0,0,0.00,,0,,0.38,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
30,Unknown,8/12/2019,Cash,12.50,0.00,1.05,0.00,13.55,6,0,10.61999989,0.00,,0,,13.55,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
31,Unknown,8/12/2019,Cash,1.00,0.00,0.00,0.00,1.00,1,0,0.850000024,0.00,,0,,1.00,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
32,David,8/12/2019,Cash,250.00,0.00,21.00,0.00,271.00,1,0,212.5,0.00,,0,Credit Card,250.00,21.00,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
33,Unknown,8/12/2019,Cash,5.00,0.00,0.42,0.00,5.42,1,0,4.25,0.00,,0,,5.42,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
34,Unknown,8/12/2019,Cash,22.95,0.00,1.93,0.00,24.88,1,0,19.5,0.00,,0,,24.88,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
35,Unknown,8/12/2019,Cash,4.00,0.00,0.34,0.00,4.34,1,0,3.400000095,0.00,,0,,4.34,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
36,Unknown,8/12/2019,Cash,27.99,0.00,2.35,0.00,30.34,2,0,23.79000092,0.00,,0,,30.34,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
37,Unknown,8/12/2019,Credit Card,25.93,0.00,0.00,0.00,25.93,2,0,4.239999771,0.00,,0,,25.93,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
38,Unknown,8/12/2019,Credit Card,29.94,0.00,1.05,0.00,30.99,4,0,10.60999966,0.00,,0,,30.99,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
39,Unknown,8/12/2019,Credit Card,11.00,0.00,0.92,0.00,11.92,2,0,9.340000153,0.00,,0,,11.92,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
40,Unknown,8/12/2019,Cash,12.72,0.00,1.07,0.00,13.79,3,0,10.80000019,0.00,,0,,13.79,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
41,Unknown,8/12/2019,Cash,139.99,0.00,11.76,0.00,151.75,3,0,118.9899979,0.00,,0,,151.75,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
42,Unknown,8/12/2019,Cash,25.00,0.00,2.10,0.00,27.10,1,0,21.25,0.00,,0,,27.10,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
43,Unknown,8/12/2019,Cash,4.50,0.00,0.38,0.00,4.88,1,0,3.819999933,0.00,,0,,4.88,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
44,Unknown,8/12/2019,Cash,6.00,0.00,0.50,0.00,6.50,1,0,5.099999905,0.00,,0,,6.50,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
45,Unknown,8/12/2019,Cash,1.99,0.00,0.17,0.00,2.16,1,0,0,0.00,,0,,2.16,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
46,Unknown,8/10/2019,Cash,18.00,0.00,1.51,0.00,19.51,1,0,15.30000019,0.00,,0,,19.51,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
47,Unknown,8/12/2019,Cash,9.99,0.00,0.84,0.00,10.83,1,0,8.489999771,0.00,,0,,10.83,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
48,Unknown,8/12/2019,Cash,34.00,0.00,2.86,0.00,36.86,1,0,28.89999962,0.00,,0,,36.86,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
49,Unknown,8/12/2019,Cash,348.00,0.00,29.23,0.00,377.23,5,0,295.7999878,0.00,,0,,377.23,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
50,Unknown,8/12/2019,Cash,6.25,0.00,0.53,0.00,6.78,1,0,5.309999943,0.00,,0,,6.78,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
51,Unknown,8/12/2019,Cash,23.94,0.00,2.01,0.00,25.95,1,0,0,0.00,,0,,25.95,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
52,Unknown,8/12/2019,Cash,8.36,0.00,0.70,0.00,9.06,1,0,0,0.00,,0,,9.06,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
53,Unknown,8/12/2019,Cash,222.50,0.00,18.69,0.00,241.19,4,0,189.1199951,0.00,,0,,241.19,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
54,Unknown,8/12/2019,Cash,55.98,0.00,4.70,0.00,60.68,2,0,38.25,0.00,,0,,60.68,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
55,Unknown,8/12/2019,Cash,10.00,0.00,0.84,0.00,10.84,1,0,8.5,0.00,,0,,10.84,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
56,,,,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,,0,,,,,,,,,,,,,,,URBANBASICS-PC,,
57,Unknown,8/12/2019,Cash,18.90,0.00,1.59,0.00,20.49,3,0,16.04999924,0.00,,0,,20.49,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
58,Unknown,8/12/2019,Cash,15.57,0.00,1.31,0.00,16.88,4,0,1.690000057,0.00,,0,,16.88,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
59,Unknown,8/12/2019,Cash,20.49,0.00,1.72,0.00,22.21,2,0,18.30999947,0.00,,0,,22.21,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
60,Unknown,8/12/2019,Cash,0.81,0.00,0.07,0.00,0.88,1,0,0.810000002,0.00,,0,,0.88,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
61,Unknown,8/12/2019,Cash,2.50,0.00,0.21,0.00,2.71,1,0,2.119999886,0.00,,0,,2.71,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
62,Unknown,8/12/2019,Cash,44.95,0.00,3.78,0.00,48.73,3,0,38.20000076,0.00,,0,,48.73,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
63,Unknown,8/12/2019,Cash,68.90,0.00,5.79,0.00,74.69,11,0,58.54000092,0.00,,0,,74.69,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
64,Unknown,8/12/2019,Cash,61.94,0.00,5.20,0.00,67.14,3,0,60.95999908,0.00,,0,,67.14,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
65,Unknown,8/12/2019,Cash,9.96,0.00,0.75,0.00,10.71,6,0,7.070000172,0.00,,0,,10.71,,0.00,0.00,,0.00,1,,,0.00,0.00,,,URBANBASICS-PC,1/0/1900,
66,Unknown,8/13/2019,Cash,26.00,0.00,2.18,0.00,28.18,4,0,22.10000038,0.00,,0,,28.18,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
67,Unknown,8/13/2019,Cash,44.99,0.00,3.78,0.00,48.77,2,0,38.24000168,0.00,,0,,48.77,,0.00,0.00,,0.00,1,,,0.00,0.00,,,DESKTOP-IFH04SI,1/0/1900,
