invoicedetailid,invoiceid,productid,productprice,itemcost,consignorid,productdescription,invoicedate
87,46,4288,18.00,15.30,76,Set Of Vintage Pink Eleph,2019-08-10
2,2,24664,1.00,0.25,500,Melissa And Doug Decorate,2019-08-10
5,5,44480,4.29,3.64,500,Clover Split Ring Markers,2019-08-11
3,3,23215,24.50,20.82,31,49a Melissa &amp; Doug Ca,2019-08-11
4,4,44480,4.29,3.64,500,Clover Split Ring Markers,2019-08-11
121,63,29530,3.00,2.55,42,Kitchen Towel #50,2019-08-12
117,63,43342,4.00,3.40,49,Wood Crate Space 78,2019-08-12
116,63,43340,5.00,4.25,49,Wood Crate Space 78,2019-08-12
115,63,43341,5.00,4.25,49,Wood Crate Space 78,2019-08-12
114,62,43347,15.00,12.75,49,Antique Cast Iron Book St,2019-08-12
111,61,772091102,2.50,2.12,65,Small Tin Flower Pot,2019-08-12
109,59,772091100,5.99,5.99,500,Musical Note Hook,2019-08-12
107,58,48699,1.99,1.69,500,Cluny Lace Trim - 3yds,2019-08-12
105,57,7811,8.95,7.60,56,#4 Hanging Wire Planter B,2019-08-12
102,55,19398,10.00,8.50,81,#30as - Large Wicker Tray,2019-08-12
99,53,36119,6.00,5.10,48,Secret Garden Adult Color,2019-08-12
98,53,8820,15.00,12.75,46,Vintage The Complete Book,2019-08-12
97,53,36550,3.50,2.97,33,Short Strand Of Greenery,2019-08-12
93,49,15078,18.00,15.30,51,Satin Gown &amp; Bonnet -,2019-08-12
92,49,25211,5.00,4.25,24,39 - 70s Sports Magazines,2019-08-12
91,49,9494,150.00,127.50,27,Mg Queen Ann Chair #24,2019-08-12
90,49,9494,150.00,127.50,27,Mg Queen Ann Chair #24,2019-08-12
88,47,50986,9.99,8.49,500,Darice-enamel Sign-mercan,2019-08-12
85,44,20307,6.00,5.10,35,10 In Microwave Bowls - N,2019-08-12
83,42,7619,25.00,21.25,15,18 The Sak Purse,2019-08-12
82,41,5907,128.00,108.80,25,Antique Iron Bed (full),2019-08-12
79,40,772091145,4.99,4.24,500,M&D Sticker Pad,2019-08-12
73,38,23572,2.50,2.12,87,Handmade Greeting Cards,2019-08-12
72,38,180727,17.45,14.83,500,Dresser,2019-08-12
71,38,9327,4.99,4.24,70,Entitled #22,2019-08-12
67,36,29753,24.00,20.40,89,Fishing Bouy 51,2019-08-12
66,35,11691,4.00,3.40,63,25 Overalls Girls 18m,2019-08-12
63,32,180727,250.00,212.50,87,Dresser,2019-08-12
62,31,180726,1.00,0.85,500,Food,2019-08-12
61,29,180722,0.35,0.30,500,Batting (2),2019-08-12
60,30,43407,2.00,1.70,49,Bracelet Space 78,2019-08-12
59,30,43407,2.00,1.70,49,Bracelet Space 78,2019-08-12
55,30,23392,3.50,2.97,31,33 Dr. Seuss Book,2019-08-12
54,28,180725,0.50,0.42,500,Trim,2019-08-12
53,28,180724,1.99,1.69,500,Misc,2019-08-12
